Description FR;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;Dim 6;Prix devise;Devise;Taux change; Prix € / pièce ;Prix total Dim 1;Prix total Dim 2;Prix total Dim 3;Prix total Dim 4;Prix total Dim 5;Prix total Dim 6;Description GB;Fournisseur;Ref fournisseur
Vis inox 3x16 chromé tête ronde pour air vent (vendu par set de 2);2;2;2;;;;0,3;USD;1; 0,30 € ; 0,60 € ; 0,60 € ; 0,60 € ; -   € ; -   € ; -   € ; Inox screw for airvent ; Léa Hung ; En attente 
'Rondelle Inox  dos d''air Vent';2;2;2;;;;0,2;EUR;1; 0,20 € ; 0,40 € ; 0,40 € ; 0,40 € ; -   € ; -   € ; -   € ;Estimation; Contact Baptiste : fixnvis ; Voir diamètre extérieur et intérieur (intérieur=vis 3x16) 
;;;;;;;;;;;;;;;;;;;
Pied de floor tom 10.5 x 540 chromé (vendu par set de 2 pieds);3;3;3;;;;3;USD;1,1; 2,73 € ; 8,18 € ; 8,18 € ; 8,18 € ; -   € ; -   € ; -   € ; Floor Tom Leg 10.5 x 540 Chrome Plating (per set) ; Léa Hung ; FL03-105540CR 
Support de pied de tom (vis à droite);2;2;2;;;;5,19;USD;1,1; 4,72 € ; 9,44 € ; 9,44 € ; 9,44 € ; -   € ; -   € ; -   € ; Tom Mount Chrome Plating, suit for 9,5/10,5 mm Floor Tom leg/L rod, including 2mm gasket ; Léa Hung ; FR15-TM001CR 
Support de pied de tom (vis gauche);1;1;1;;;;5,19;USD;1,1; 4,72 € ; 4,72 € ; 4,72 € ; 4,72 € ; -   € ; -   € ; -   € ; Tom Mount Chrome Plating, suit for 9,5/10,5 mm Floor Tom leg/L rod, including 2mm gasket ; Léa Hung ; FR15-TM002CR 
Vis de montage 5x15 pour pieds de FT;6;6;6;;;;0,05;USD;1,1; 0,05 € ; 0,27 € ; 0,27 € ; 0,27 € ; -   € ; -   € ; -   € ; Mounting Screw 5x15 Nickel Plating ; Léa Hung ; BS01-050015NK 
;;;;;;;;;;;;;;;;;;;
Badge laiton ASBA;1;1;1;;;;3;USD;1,1; 2,73 € ; 2,73 € ; 2,73 € ; 2,73 € ; -   € ; -   € ; -   € ; Die Casting Badge Brass Plating ; Léa Hung ; FR15-BG01BR 
Vis de montage 4x9 pour badge ;2;2;2;;;;0,04;USD;1,1; 0,04 € ; 0,07 € ; 0,07 € ; 0,07 € ; -   € ; -   € ; -   € ; Mounting Screw 4x9 Nickel Plating  ; Léa Hung ; BS01-040009NK 
;;;;;;;;;;;;;;;;;;;
Coquilles de Tom chromé;16;16;16;;;;1,8;USD;1,1; 1,64 € ; 26,18 € ; 26,18 € ; 26,18 € ; -   € ; -   € ; -   € ; Die Casting Lug Chrome Plating excluding gasket For Tom & Snare ; Léa Hung ; FR15-L01-02CR 
Joint de coquille de Tom;16;16;16;;;;0,08;USD;1,1; 0,07 € ; 1,16 € ; 1,16 € ; 1,16 € ; -   € ; -   € ; -   € ; Gasket for FR15-L01-02 Tom & Snare lug ; Léa Hung ; 3D010128RW 
Tirants de Floor Tom 12-24x52 chromé avec rondelle;16;16;16;;;;0,11;USD;1,1; 0,10 € ; 1,60 € ; 1,60 € ; 1,60 € ; -   € ; -   € ; -   € ; Tension Rod 12-24x52 Chrome Plating W/Metal Washer ; Léa Hung ; TR01-055052CR 
